,,,SOC,SEI,Power,T,,delta SEI
217,24606,25171,79,1.00E-08,0.68421,23,,#VALUE!
218,24606,25171,79,1.00E-08,0.78947,23,1E-08,5.6562084001E-15
219,24606,25171,79,1.00E-08,0.89474,23,1E-08,5.8544936994E-15
220,24606,25171,79,1.00E-08,1,23,1E-08,6.0623627001E-15
221,24606,25171,79,1.11E-08,-1,23,1.1111E-08,1.1000000179E-11
222,24606,25171,79,1.11E-08,-0.89474,23,,#VALUE!
223,24606,25171,79,1.11E-08,-0.78947,23,1.1111E-08,1.1000000148E-11
224,24606,25171,79,1.11E-08,-0.68421,23,1.1111E-08,1.1000000124E-11
225,24606,25171,79,1.11E-08,-0.57895,23,,#VALUE!
226,24606,25171,79,1.11E-08,-0.47368,23,1.1111E-08,1.1000000543E-11
227,24606,25171,79,1.11E-08,-0.36842,23,1.1111E-08,1.1000000231E-11
228,24606,25171,79,1.11E-08,-0.26316,23,1.1111E-08,1.0999999789E-11
229,24606,25171,79,1.11E-08,-0.15789,23,1.1111E-08,1.0999999391E-11
230,24606,25171,79,1.11E-08,-0.052632,23,1.1111E-08,1.1000000017E-11
231,24606,25171,79,1.11E-08,0.052632,23,1.1111E-08,1.1004488018E-11
232,24606,25171,79,1.11E-08,0.15789,23,,#VALUE!
233,24606,25171,79,1.11E-08,0.26316,23,1.1111E-08,1.1004769582E-11
234,24606,25171,79,1.11E-08,0.36842,23,,#VALUE!
235,24606,25171,79,1.11E-08,0.47368,23,1.1111E-08,1.1005077022E-11
236,24606,25171,79,1.11E-08,0.57895,23,1.1111E-08,1.1005240677E-11
237,24606,25171,79,1.11E-08,0.68421,23,1.1111E-08,1.1005412638E-11
238,24606,25171,79,1.11E-08,0.78947,23,1.1111E-08,1.1005589288E-11
239,24606,25171,79,1.11E-08,0.89474,23,1.1111E-08,1.1005774871E-11
240,24606,25171,79,1.11E-08,1,23,1.1111E-08,1.1005969379E-11
241,24606,25171,79,1.22E-08,-1,23,,#VALUE!
242,24606,25171,79,1.22E-08,-0.89474,23,1.2222E-08,2.2000000453E-11
243,24606,25171,79,1.22E-08,-0.78947,23,,#VALUE!
244,24606,25171,79,1.22E-08,-0.68421,23,,#VALUE!
245,24606,25171,79,1.22E-08,-0.57895,23,1.2222E-08,2.2000000105E-11
246,24606,25171,79,1.22E-08,-0.47368,23,1.2222E-08,2.2000000172E-11
247,24606,25171,79,1.22E-08,-0.36842,23,,#VALUE!
248,24606,25171,79,1.22E-08,-0.26316,23,1.2222E-08,2.1999999439E-11
249,24606,25171,79,1.22E-08,-0.15789,23,1.2222E-08,2.2000001187E-11
250,24606,25171,79,1.22E-08,-0.052632,23,1.2222E-08,2.2000000015E-11
251,24606,25171,79,1.22E-08,0.052632,23,,#VALUE!
252,24606,25171,79,1.22E-08,0.15789,23,,#VALUE!
253,24606,25171,79,1.22E-08,0.26316,23,1.2222E-08,2.2004754693E-11
254,24606,25171,79,1.22E-08,0.36842,23,1.2222E-08,2.2004897895E-11
255,24606,25171,79,1.22E-08,0.47368,23,1.2222E-08,2.2005047799E-11
256,24606,25171,79,1.22E-08,0.57895,23,1.2222E-08,2.2005204488E-11
257,24606,25171,79,1.22E-08,0.68421,23,,#VALUE!
258,24606,25171,79,1.22E-08,0.78947,23,1.2222E-08,2.2005535688E-11
259,24606,25171,79,1.22E-08,0.89474,23,1.2222E-08,2.2005710864E-11
260,24606,25171,79,1.22E-08,1,23,1.2222E-08,2.2005895019E-11
261,24606,25171,79,1.33E-08,-1,23,,#VALUE!
262,24606,25171,79,1.33E-08,-0.89474,23,1.3333E-08,3.3000000243E-11
263,24606,25171,79,1.33E-08,-0.78947,23,1.3333E-08,3.3000000424E-11
